央视频道,#genre#
CCTV1,http://lt.hxtre.com:35455/gaoma/cctv1.m3u8#http://huashetou.fun:35455/gaoma/cctv1.m3u8#http://yc.myds.me:35455/gaoma/cctv1.m3u8#http://3501776.xyz:35455/gaoma/cctv1.m3u8#http://xiaoya.crccxw.top:35455/gaoma/cctv1.m3u8
CCTV2,http://b.zgjok.com:35455/gaoma/cctv2.m3u8#http://xiaoya.crccxw.top:35455/gaoma/cctv2.m3u8#http://www.douzhicloud.site:35455/gaoma/cctv2.m3u8
CCTV3,http://36.105.100.208:35455/gaoma/cctv3.m3u8#http://xiaoya.crccxw.top:35455/gaoma/cctv3.m3u8#http://lt.hxtre.com:35455/gaoma/cctv3.m3u8#http://b.zgjok.com:35455/gaoma/cctv3.m3u8
CCTV4,http://lt.hxtre.com:35455/gaoma/cctv4.m3u8#http://huashetou.fun:35455/gaoma/cctv4.m3u8#http://www.douzhicloud.site:35455/gaoma/cctv4.m3u8
CCTV5,http://home.kuaidi521.com:35455/gaoma/cctv5.m3u8#http://3501776.xyz:35455/gaoma/cctv5.m3u8#http://xiaoya.crccxw.top:35455/gaoma/cctv5.m3u8#http://xiaoya.crccxw.top:35455/gaoma/cctv5p.m3u8#http://36.105.100.208:35455/gaoma/cctv5.m3u8
CCTV5+,http://home.kuaidi521.com:35455/gaoma/cctv5p.m3u8#http://lt.hxtre.com:35455/gaoma/cctv5p.m3u8#http://13937899.xyz:35455/gaoma/cctv5p.m3u8
CCTV7,http://home.kuaidi521.com:35455/gaoma/cctv7.m3u8#http://b.zgjok.com:35455/gaoma/cctv7.m3u8#http://xiaoya.crccxw.top:35455/gaoma/cctv7.m3u8#http://36.105.100.208:35455/gaoma/cctv7.m3u8
CCTV8,http://www.douzhicloud.site:35455/gaoma/cctv8.m3u8#http://3501776.xyz:35455/gaoma/cctv8.m3u8#http://36.105.100.208:35455/gaoma/cctv8.m3u8
CCTV9,http://lt.hxtre.com:35455/gaoma/cctv9.m3u8#http://23.106.158.19:35455/gaoma/cctv9.m3u8#http://www.douzhicloud.site:35455/gaoma/cctv9.m3u8#http://36.105.100.208:35455/gaoma/cctv9.m3u8#http://xiaoya.crccxw.top:35455/gaoma/cctv9.m3u8#http://39.164.160.249:9901/tsfile/live/0009_1.m3u8
CCTV10,http://xiaoya.crccxw.top:35455/gaoma/cctv10.m3u8#http://home.kuaidi521.com:35455/gaoma/cctv10.m3u8#http://36.105.100.208:35455/gaoma/cctv10.m3u8
CCTV11,http://huashetou.fun:35455/gaoma/cctv11.m3u8#http://xiaoya.crccxw.top:35455/gaoma/cctv11.m3u8#http://36.105.100.208:35455/gaoma/cctv11.m3u8
CCTV12,http://home.kuaidi521.com:35455/gaoma/cctv12.m3u8#http://xiaoya.crccxw.top:35455/gaoma/cctv12.m3u8#http://lt.hxtre.com:35455/gaoma/cctv12.m3u8
CCTV13,http://home.kuaidi521.com:35455/gaoma/cctv13.m3u8#http://lt.hxtre.com:35455/gaoma/cctv13.m3u8
CCTV14,http://lt.hxtre.com:35455/gaoma/cctv14.m3u8#http://home.kuaidi521.com:35455/gaoma/cctv14.m3u8#http://13937899.xyz:35455/gaoma/cctv14.m3u8
CCTV15,http://home.kuaidi521.com:35455/gaoma/cctv15.m3u8#http://36.105.100.208:35455/gaoma/cctv15.m3u8#http://xiaoya.crccxw.top:35455/gaoma/cctv15.m3u8#http://yc.myds.me:35455/gaoma/cctv15.m3u8#http://39.164.160.249:9901/tsfile/live/0015_1.m3u8
CCTV16,http://home.kuaidi521.com:35455/gaoma/cctv16.m3u8#http://xiaoya.crccxw.top:35455/gaoma/cctv16.m3u8#http://36.105.100.208:35455/gaoma/cctv16.m3u8#http://13937899.xyz:35455/gaoma/cctv16.m3u8
CCTV17,http://yc.myds.me:35455/gaoma/cctv17.m3u8#http://23.106.158.19:35455/gaoma/cctv17.m3u8#http://home.kuaidi521.com:35455/gaoma/cctv17.m3u8#http://huashetou.fun:35455/gaoma/cctv17.m3u8#http://nas.suntao.online:35455/gaoma/cctv17.m3u8#http://xiaoya.crccxw.top:35455/gaoma/cctv17.m3u8
CCTV音乐,http://123.138.22.30:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
